Protocol,Domain,Path,Subdomain,URL len,Domain len,Subdomain len,Path len,#Subdomains,IP,HTTPS,Known TLD,#Brand,#Similar brand,#Similar keyword,Brand check,#Random word,Random domain,#Keyword,#Other word,#Raw word,Avg word len,Long word len,Short word len,#SC,Label
,apple-iforget,apple-iforget.com,,0,1,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1
,safe-id-login,safe-id-login.com,,0,1,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,2,1
,helpplusinfo01,manage.netflix.com.usermanagement.key.1973573.helpplusinfo01.com,manage.netflix.com.usermanagement.key.1973573,2,1,1,1,0,0,0,1,1,0,0,1,2,0,2,0,1,0,1,0,1,1
,helpplusinfo01,manage.netflix.com.usermanagement.key.1973574.helpplusinfo01.com,manage.netflix.com.usermanagement.key.1973574,2,1,1,1,0,0,0,1,1,0,0,1,2,0,2,0,1,0,1,0,1,1
,helpplusinfo01,helpplusinfo01.com,,0,1,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1
,icloudsupporto,icloudsupporto.com,,0,1,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1
,fbverify,fbverify.biz,,0,0,1,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1
,paypal-my-cash,paypal-my-cash.com,,0,1,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,2,1
,scotiabank-security,scotiabank-security.com,,0,1,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1
,user-appleid-find,user-appleid-find.com,,0,1,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,2,1
,verifrb2,verifrb2.net,,0,0,1,2,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1
,icloudmyphone,icloudmyphone.com,,0,1,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1
,iphone-gxa,iphone-gxa.com,,0,1,1,2,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1
,postepayverifica,postepayverifica.com,,0,1,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1
