Protocol,Domain,Path,Subdomain,Path len,URL len,Dom len,Sbd len,# SBD,#Brands,#SimBrs,#Key,#SimKey,#Rand,RandD,#Oth,#Raw,AvgWL,MaxWL,MinWL,STDV,Label
http,conceptdraw,/How-To-Guide/Local-Area-Network,www,32,58,11,3,0,0,0,2,0,6,True,1,9,4.777777777777778,11,2,2.773886162848873,0
https,edrawsoft,/Local-Area-Network.php,www,23,48,9,3,0,0,0,1,0,4,True,1,7,4.857142857142857,9,3,2.340126166724879,0
http,webopedia,/TERM/L/local_area_network_LAN.html,www,35,59,9,3,0,1,0,1,0,3,True,1,7,6.571428571428571,22,1,7.230886134196436,0
https,acsac,/secshelf/book001/16.pdf,www,24,45,5,3,0,0,0,0,0,5,True,1,7,4.428571428571429,8,2,2.29906813420444,0
http,diffen,/difference/LAN_vs_WAN,www,22,43,6,3,0,0,0,1,0,3,True,1,5,6.4,10,3,3.5071355833500366,0
http,yourdictionary,/lan,sentence,4,38,14,8,0,0,0,1,0,3,True,0,4,7.0,14,3,5.228129047119374,0
http,itrelease,/2012/12/examples-and-types-of-networks/,www,40,64,9,3,0,1,0,1,0,7,True,1,10,4.7,9,2,2.6687491868330793,0
http,dictionary,/browse/lan,www,11,36,10,3,0,0,0,1,0,3,True,1,5,5.0,10,3,3.082207001484488,0
http,usf,/Network/chap1/chap1.htm,fcit,24,43,3,4,0,0,0,0,0,4,False,1,7,4.285714285714286,7,3,1.4960264830861913,0
http,Cisco,/c/en/us/support/wireless/2100-series-wireless-lan-controllers/products-configuration-examples-list.html,www,104,124,5,3,0,3,0,4,0,9,True,1,18,5.555555555555555,13,1,3.2938842120837184,0
http,dlink,/emulators/dcw725/RgConnect.html,support,32,56,5,7,0,0,0,2,0,3,True,1,7,6.142857142857143,9,3,2.340126166724879,0
http,maxis,/content/dam/maxis/en/personal/support/faq-images/devices/all-internet-devices/fibre/user-manual/fiber%20internet-%20MB%20TG784%20User%20Manual.pdf,www,147,170,5,3,0,0,0,3,0,19,True,1,26,5.269230769230769,10,2,2.1643972335538098,0
http,psu,/viewdoc/download,citeseerx.ist,17,81,3,13,0,0,0,0,0,15,True,1,16,3.6875,9,1,2.330057223903882,0
http,Cisco,/c/dam/en/us/td/docs/video/at_home/Cable_Modems/3800_Series/4021196_C.pdf,www,73,93,5,3,0,3,0,2,0,6,True,1,15,4.8,12,1,3.4267852490135917,0
https,wikipedia,/wiki/Residential_gateway,en,25,49,9,2,0,2,0,1,0,2,True,0,5,7.4,19,2,7.021395872616783,0
http,setuprouter,/router/smartrg/sr500n/manual-1242.pdf,,38,60,11,0,0,0,0,1,0,5,True,1,8,5.75,11,3,2.6049403612586386,0
http,linksys,/BEFCMUH4/twc/,ui,14,35,7,2,0,0,0,1,0,2,True,1,5,4.6,8,2,2.701851217221259,0
http,karistelefon,/sv/component/docman/doc_download/204-znid-24xx-configuration-guide,www,67,93,12,3,0,0,0,2,0,6,True,1,12,6.25,13,2,4.136863106707347,0
https,speedguide,/images/hardware/siemens/speedstream6500_manual.pdf,www,51,77,10,3,0,1,0,0,0,5,True,1,8,7.75,22,3,6.3189058727418494,0
https,ting,/hc/en-us/articles/206296637-Configuring-Your-Residential-Gateway-GigaCenter-844G-,help,82,103,4,4,0,1,0,2,0,10,True,1,14,5.785714285714286,11,2,3.4234164543304133,0
https,linkedin,/jobs/,www,6,30,8,3,0,1,0,1,0,1,True,1,4,4.5,8,3,2.3804761428476167,0
https,linkedin,/jobs/linkedin-jobs,www,19,43,8,3,0,2,0,1,0,2,True,1,6,5.0,8,3,2.3664319132398464,0
https,linkedin,/jobs/view-all,www,14,38,8,3,0,1,0,1,0,3,True,1,6,4.166666666666667,8,3,1.9407902170679516,0
https,linkedin,/jobs/directory/,www,16,40,8,3,0,1,0,1,0,2,True,1,5,5.4,9,3,2.8809720581775866,0
https,glassdoor,/Jobs/LinkedIn-Jobs-E34865.htm,www,30,55,9,3,0,1,0,1,0,4,True,1,8,5.0,9,3,2.390457218668787,0
https,twitter,/linkedin_jobs,,14,33,7,0,0,1,0,1,0,1,True,0,3,7.666666666666667,13,3,5.033222956847167,0
