Protocol,Domain,Path,Subdomain,URL len,Domain len,Subdomain len,Path len,#Subdomains,IP,HTTPS,Known TLD,#Brand,#Similar brand,#Similar keyword,Brand check,#Random word,Random domain,#Keyword,#Other word,#Raw word,Avg word len,Long word len,Short word len,#SC,Label
http,conceptdraw,/How-To-Guide/Local-Area-Network,www,2,1,0,1,0,0,0,1,0,0,0,1,1,0,2,0,1,0,0,1,0,0
https,edrawsoft,/Local-Area-Network.php,www,0,0,0,1,0,0,1,1,0,0,0,1,2,0,2,0,1,0,0,0,0,0
http,webopedia,/TERM/L/local_area_network_LAN.html,www,2,0,0,1,0,0,0,1,1,0,0,1,0,0,2,0,1,0,1,1,0,0
https,acsac,/secshelf/book001/16.pdf,www,0,0,0,1,0,0,1,1,0,0,0,1,1,0,2,0,1,0,0,1,0,0
http,diffen,/difference/LAN_vs_WAN,www,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0
http,yourdictionary,/lan,sentence,0,1,0,2,0,0,0,1,0,0,0,1,0,0,2,0,1,0,1,0,0,0
http,itrelease,/2012/12/examples-and-types-of-networks/,www,2,0,0,1,0,0,0,1,1,0,0,1,1,0,2,0,1,0,0,1,0,0
http,dictionary,/browse/lan,www,0,1,0,2,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0
http,usf,/Network/chap1/chap1.htm,fcit,0,0,0,1,0,0,0,1,0,0,0,1,2,1,2,0,1,0,0,0,0,0
http,Cisco,/c/en/us/support/wireless/2100-series-wireless-lan-controllers/products-configuration-examples-list.html,www,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0
http,dlink,/emulators/dcw725/RgConnect.html,support,2,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0
http,maxis,/content/dam/maxis/en/personal/support/faq-images/devices/all-internet-devices/fibre/user-manual/fiber%20internet-%20MB%20TG784%20User%20Manual.pdf,www,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
http,psu,/viewdoc/download,citeseerx.ist,1,0,2,1,0,0,0,1,0,0,0,1,1,0,2,0,1,0,0,1,0,0
http,Cisco,/c/dam/en/us/td/docs/video/at_home/Cable_Modems/3800_Series/4021196_C.pdf,www,1,0,0,1,0,0,0,1,1,0,0,0,1,0,2,0,1,0,1,1,0,0
https,wikipedia,/wiki/Residential_gateway,en,0,0,0,1,0,0,1,1,1,0,0,1,0,0,2,0,1,0,1,1,0,0
http,setuprouter,/router/smartrg/sr500n/manual-1242.pdf,,2,1,1,1,0,0,0,1,0,0,0,1,1,0,2,0,1,0,0,0,0,0
http,linksys,/BEFCMUH4/twc/,ui,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,1,0,0
http,karistelefon,/sv/component/docman/doc_download/204-znid-24xx-configuration-guide,www,1,1,0,1,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,1,0,0
https,speedguide,/images/hardware/siemens/speedstream6500_manual.pdf,www,1,1,0,1,0,0,1,1,1,0,0,1,1,0,2,0,1,0,1,0,0,0
https,ting,/hc/en-us/articles/206296637-Configuring-Your-Residential-Gateway-GigaCenter-844G-,help,1,0,0,1,0,0,1,1,1,0,0,1,1,0,2,0,1,0,0,1,0,0
https,linkedin,/jobs/,www,0,0,0,2,0,0,1,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0
https,linkedin,/jobs/linkedin-jobs,www,0,0,0,1,0,0,1,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0
https,linkedin,/jobs/view-all,www,0,0,0,2,0,0,1,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0
https,linkedin,/jobs/directory/,www,0,0,0,1,0,0,1,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0
https,glassdoor,/Jobs/LinkedIn-Jobs-E34865.htm,www,2,0,0,1,0,0,1,1,1,0,0,1,2,0,2,0,1,0,0,0,0,0
https,twitter,/linkedin_jobs,,0,0,1,2,0,0,1,1,1,0,0,1,0,0,2,0,0,0,1,0,0,0
http,jobvite,/linkedin/jobs,jobs,0,0,0,2,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0
http,job-interview-site,/linkedin-jobs-search-finding-jobs-using-linkedin.html,www,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,0,1,0,0,0,2,0
https,google,/store/apps/details,play,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
