Protocol,Domain,Path,Subdomain,Path len,URL len,Dom len,Sbd len,# SBD,#Brands,#SimBrs,#Key,#SimKey,#Rand,RandD,#Oth,#Raw,AvgWL,MaxWL,MinWL,STDV,Label
,apple-iforget,apple-iforget.com,,17,17,13,0,0,0,0,1,0,1,True,0,2,5.0,7,3,2.8284271247461903,1
,safe-id-login,safe-id-login.com,,17,17,13,0,0,0,0,2,0,1,True,0,3,3.3333333333333335,5,2,1.5275252316519468,1
,helpplusinfo01,manage.netflix.com.usermanagement.key.1973573.helpplusinfo01.com,manage.netflix.com.usermanagement.key.1973573,64,64,14,45,0,1,0,2,0,4,True,0,7,7.285714285714286,14,3,4.923220007078217,1
,helpplusinfo01,manage.netflix.com.usermanagement.key.1973574.helpplusinfo01.com,manage.netflix.com.usermanagement.key.1973574,64,64,14,45,0,1,0,2,0,4,True,0,7,7.285714285714286,14,3,4.923220007078217,1
,helpplusinfo01,helpplusinfo01.com,,18,18,14,0,0,0,0,1,0,0,True,0,1,3.0,3,3,0.0,1
,icloudsupporto,icloudsupporto.com,,18,18,14,0,0,0,0,1,0,0,True,0,1,3.0,3,3,0.0,1
,fbverify,fbverify.biz,,12,12,8,0,0,0,0,0,0,0,False,1,1,3.0,3,3,0.0,1
,paypal-my-cash,paypal-my-cash.com,,18,18,14,0,0,0,0,1,0,2,True,0,3,3.0,4,2,1.0,1
,scotiabank-security,scotiabank-security.com,,23,23,19,0,0,0,0,1,0,1,True,0,2,5.5,8,3,3.5355339059327378,1
,user-appleid-find,user-appleid-find.com,,21,21,17,0,0,0,0,1,0,2,True,0,3,4.666666666666667,7,3,2.0816659994661326,1
,verifrb2,verifrb2.net,,12,12,8,0,0,1,0,0,0,0,True,0,1,3.0,3,3,0.0,1
,icloudmyphone,icloudmyphone.com,,17,17,13,0,0,0,0,1,0,0,True,0,1,3.0,3,3,0.0,1
,iphone-gxa,iphone-gxa.com,,14,14,10,0,0,0,0,1,0,0,True,1,2,3.0,3,3,0.0,1
,postepayverifica,postepayverifica.com,,20,20,16,0,0,0,0,1,0,0,True,0,1,3.0,3,3,0.0,1
,wap-ios10-icloud,wap-ios10-icloud.com,,20,20,16,0,0,0,0,1,0,2,True,0,3,4.666666666666667,6,3,1.5275252316519465,1
,apple-iosfid,apple-iosfid.com,,16,16,12,0,0,0,0,1,0,1,True,0,2,4.5,6,3,2.1213203435596424,1
,id-apple-icloud-phone,id-apple-icloud-phone.com,,25,25,21,0,0,1,0,1,0,2,True,0,4,4.75,6,3,1.2583057392117916,1
,payp-verifizierung,payp-verifizierung.info,,23,23,18,0,0,0,0,0,0,2,True,0,2,8.5,13,4,6.363961030678928,1
,pp-verifizierung,pp-verifizierung.info,,21,21,16,0,0,0,0,0,0,2,True,0,2,8.5,13,4,6.363961030678928,1
,icloud-support,icloud-support.ru,,17,17,14,0,0,0,0,1,0,0,True,1,2,4.5,7,2,3.5355339059327378,1
,twitterverification,twitterverification.website,,27,27,19,0,0,0,0,0,0,1,True,0,1,7.0,7,7,0.0,1
,payp-verifizierung,payp-verifizierung.online,,25,25,18,0,0,0,0,1,0,1,True,0,2,9.5,13,6,4.949747468305833,1
,accountverification,accountverification.online,,26,26,19,0,0,0,0,1,0,0,True,0,1,6.0,6,6,0.0,1
,loacteidevice,loacteidevice.info/sms/,,23,23,13,0,0,0,0,0,0,1,True,1,2,3.5,4,3,0.7071067811865476,1
,gmailverification,gmailverification.com,,21,21,17,0,0,0,0,1,0,0,True,0,1,3.0,3,3,0.0,1
,13bmosecure,13bmosecure.com,,15,15,11,0,0,0,0,1,0,0,True,0,1,3.0,3,3,0.0,1
,find-user,appleid.find-user.com,appleid,21,21,9,7,0,0,0,1,0,2,True,0,3,3.6666666666666665,4,3,0.5773502691896257,1
,appleid-find-user,appleid-find-user.com,,21,21,17,0,0,0,0,1,0,2,True,0,3,3.6666666666666665,4,3,0.5773502691896257,1
,kunden-secured,kunden-secured.info,,19,19,14,0,0,0,0,0,0,2,True,0,2,5.5,7,4,2.1213203435596424,1
,kunden-verifi,kunden-verifi.info,,18,18,13,0,0,0,0,1,0,1,True,0,2,5.0,6,4,1.4142135623730951,1
,pp-verifi,pp-verifi.info,,14,14,9,0,0,0,0,1,0,1,True,0,2,5.0,6,4,1.4142135623730951,1
,com-support,com-support.online,,18,18,11,0,0,0,0,2,0,0,True,0,2,6.5,7,6,0.7071067811865476,1
,twitterverification,twitterverification.website,,27,27,19,0,0,0,0,0,0,1,True,0,1,7.0,7,7,0.0,1
,app-findmyiphone,app-findmyiphone.com,,20,20,16,0,0,0,0,1,0,1,True,0,2,7.5,12,3,6.363961030678928,1
,appleid-find-help,appleid-find-help.com,,21,21,17,0,0,0,0,1,0,2,True,0,3,3.6666666666666665,4,3,0.5773502691896257,1
,icloud-apple-ld,icloud-apple-ld.com,,19,19,15,0,0,1,0,1,0,1,True,0,3,3.3333333333333335,5,2,1.5275252316519468,1
,locationmyiphone,locationmyiphone.com,,20,20,16,0,0,0,0,1,0,0,True,0,1,3.0,3,3,0.0,1
,update-scotiabank,update-scotiabank.com,,21,21,17,0,0,0,0,1,0,1,True,0,2,6.5,10,3,4.949747468305833,1
,verifiedaccounts,verifiedaccounts.us,,19,19,16,0,0,1,0,0,0,0,True,0,1,2.0,2,2,0.0,1
,apple-icloudcid,apple-icloudcid.com,,19,19,15,0,0,0,0,1,0,1,True,0,2,6.0,9,3,4.242640687119285,1
,bmo-security,bmo-security.com,,16,16,12,0,0,0,0,1,0,1,True,0,2,5.5,8,3,3.5355339059327378,1
,icloud-id-usa,icloud-id-usa.com,,17,17,13,0,0,0,0,2,0,1,True,0,3,2.6666666666666665,3,2,0.5773502691896257,1
,findmyiphone,findmyiphone.vip,,16,16,12,0,0,0,0,0,0,1,True,0,1,3.0,3,3,0.0,1
,appleid-icloud-ios-ine,appleid-icloud-ios-ine.com,,26,26,22,0,0,0,0,2,0,2,True,0,4,3.75,6,3,1.5,1
,cl866,cl866.com,,9,9,5,0,0,0,0,1,0,0,True,0,1,3.0,3,3,0.0,1
,cngdzhongzi,cngdzhongzi.com,,15,15,11,0,0,0,0,1,0,0,False,0,1,3.0,3,3,0.0,1
,apple-verify-ios-icloud,apple-verify-ios-icloud.com,,27,27,23,0,0,0,0,1,0,3,True,0,4,4.5,6,3,1.7320508075688772,1
,appleid-find-help,appleid-find-help.com,,21,21,17,0,0,0,0,1,0,2,True,0,3,3.6666666666666665,4,3,0.5773502691896257,1
,wap-ios-icloud,wap-ios-icloud.com,,18,18,14,0,0,0,0,1,0,2,True,0,3,4.0,6,3,1.7320508075688772,1
https,apaypal,/Secure/PP/Paypal/,mail,18,41,7,4,0,4,0,1,0,1,True,0,6,4.5,7,2,2.16794833886788,1
,apaypal,apaypal.co/Secure/PP/Paypal/,,28,28,7,0,0,3,0,1,0,0,True,0,4,4.0,6,2,2.309401076758503,1
,mytechnicalinformation,mytechnicalinformation.com,,26,26,22,0,0,0,0,1,0,0,True,0,1,3.0,3,3,0.0,1
,appleid-find-help,appleid-find-help.com,,21,21,17,0,0,0,0,1,0,2,True,0,3,3.6666666666666665,4,3,0.5773502691896257,1
,localizardispositivos-apple,localizardispositivos-apple.com,,31,31,27,0,0,1,0,1,0,0,True,0,2,4.0,5,3,1.4142135623730951,1
,apple-id-support,apple-id-support.info,,21,21,16,0,0,0,0,2,0,1,True,0,3,4.333333333333333,7,2,2.516611478423583,1
,notifyme-icloud,notifyme-icloud.online,,22,22,15,0,0,0,0,1,0,1,True,0,2,6.0,6,6,0.0,1
,apple-accounts,apple-accounts.me/clients/home/,,31,31,14,0,0,0,0,2,0,2,True,0,4,5.25,8,2,2.753785273643051,1
,lost-apple-device,lost-apple-device.com,,21,21,17,0,0,1,0,1,0,1,True,0,3,4.666666666666667,6,3,1.5275252316519465,1
,applescloud,applescloud.com,,15,15,11,0,0,0,0,1,0,0,True,0,1,3.0,3,3,0.0,1
,facebookverification,facebookverification.com,,24,24,20,0,0,0,0,1,0,0,True,0,1,3.0,3,3,0.0,1
,info-apple-service,info-apple-service.com,,22,22,18,0,0,1,0,2,0,0,True,0,3,5.0,7,3,2.0,1
,kor-icloud,kor-icloud.com,,14,14,10,0,0,0,0,1,0,1,True,0,2,4.5,6,3,2.1213203435596424,1
,limited-verificationupdatenow,paypal.limited-verificationupdatenow.com/,paypal,41,41,29,6,0,0,0,1,0,2,True,0,3,10.333333333333334,21,3,9.451631252505216,1
,update-accounts-services,update-accounts-services.com,,28,28,24,0,0,0,0,2,0,1,True,0,3,6.333333333333333,8,3,2.8867513459481287,1
,isupporticloud,isupporticloud.info/iphone/,,27,27,14,0,0,0,0,0,0,2,True,0,2,5.0,6,4,1.4142135623730951,1
,isupporticloud,isupporticloud.info/apple/,,26,26,14,0,0,1,0,0,0,1,True,0,2,4.5,5,4,0.7071067811865476,1
,isupporticloud,isupporticloud.info/buscarmiiphone/,,35,35,14,0,0,0,0,0,0,2,True,0,2,9.0,14,4,7.0710678118654755,1
,verificationhelp,verificationhelp.online,,23,23,16,0,0,0,0,1,0,0,True,0,1,6.0,6,6,0.0,1
,mygadget-info,mygadget-info.com,,17,17,13,0,0,0,0,1,0,1,True,0,2,3.5,4,3,0.7071067811865476,1
,sljtm,34zy2.sljtm.com,34zy2,15,15,5,5,0,0,0,1,0,0,False,1,2,4.0,5,3,1.4142135623730951,1
